seed,policy,source,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
17,calibrated_tail,multimodal-deep-learning-disaster-response-mouzannar,2624,0.15510670731707318,0.9485791610284168,0.08689024390243902,0.8689024390243905,0.6129032258064516,31,12,0.5769944341372912
42,random,ASONAM17_Damage_Image_Dataset,4200,0.2042857142857143,0.8665469778575703,0.20333333333333334,1.9714285714285718,0.06666666666666667,45,42,0.1748792270531401
42,random,aidr_disaster_types,2069,0.1889801836636056,0.929678188319428,0.12034799420009666,1.203479942000967,0.25,20,15,0.20952380952380953
42,random,aidr_info,1919,0.21313183949973943,0.9344370860927153,0.07347576862949452,0.7347576862949455,0.0,4,4,0.12962962962962962
42,random,crisismmd,4822,0.19929489838241393,0.8761978761978761,0.1480713396930734,1.4807133969307344,0.35294117647058826,34,22,0.24604012671594508
42,random,multimodal-deep-learning-disaster-response-mouzannar,2624,0.19321646341463414,0.891828058573453,0.19016768292682926,1.9016768292682933,0.09090909090909091,33,30,0.1396551724137931
42,entropy,ASONAM17_Damage_Image_Dataset,4200,0.2330952380952381,0.9292145296491773,0.08976190476190476,0.8976190476190479,0.6666666666666666,45,15,0.6357487922705314
42,entropy,aidr_disaster_types,2069,0.1580473658772354,0.9764638346727899,0.031899468342194294,0.31899468342194304,0.85,20,3,0.7904761904761904
42,entropy,aidr_info,1919,0.13183949973944764,0.9861944777911165,0.015633142261594582,0.15633142261594585,0.75,4,1,0.8148148148148148
42,entropy,crisismmd,4822,0.23247615097469929,0.9478519319102945,0.060348403152218996,0.6034840315221901,0.7647058823529411,34,8,0.6927138331573389
42,entropy,multimodal-deep-learning-disaster-response-mouzannar,2624,0.16996951219512196,0.9522497704315886,0.07393292682926829,0.7393292682926832,0.696969696969697,33,10,0.6655172413793103
42,single_model_risk,ASONAM17_Damage_Image_Dataset,4200,0.22071428571428572,0.9110907424381302,0.09261904761904761,0.9261904761904765,0.8222222222222222,45,8,0.6241545893719807
42,single_model_risk,aidr_disaster_types,2069,0.1193813436442726,0.9731064763995609,0.04156597390043499,0.41565973900435005,0.75,20,5,0.726984126984127
42,single_model_risk,aidr_info,1919,0.1730067743616467,0.9785759294265911,0.01771756122980719,0.17717561229807197,1.0,4,0,0.7901234567901234
42,single_model_risk,crisismmd,4822,0.25445873081708836,0.9351877607788596,0.0578598092077976,0.5785980920779761,0.8823529411764706,34,4,0.7053854276663146
42,single_model_risk,multimodal-deep-learning-disaster-response-mouzannar,2624,0.14977134146341464,0.9569699686239355,0.06935975609756098,0.69359756097561,0.696969696969697,33,10,0.6862068965517242
42,l2d_single_head,ASONAM17_Damage_Image_Dataset,4200,0.24,0.8944235588972431,0.10952380952380952,1.0952380952380956,0.7804878048780488,41,9,0.5551257253384912
42,l2d_single_head,aidr_disaster_types,2069,0.10101498308361527,0.964516129032258,0.055099081681971966,0.5509908168197198,0.6842105263157895,19,6,0.6174496644295302
42,l2d_single_head,aidr_info,1919,0.19020323084940072,0.9633204633204633,0.040125065138092754,0.4012506513809277,0.6,5,2,0.5523255813953488
42,l2d_single_head,crisismmd,4822,0.23703857320613853,0.9225332970916009,0.08191621733720449,0.819162173372045,0.6428571428571429,28,10,0.5697167755991286
42,l2d_single_head,multimodal-deep-learning-disaster-response-mouzannar,2624,0.15282012195121952,0.938821412505623,0.10213414634146341,1.0213414634146345,0.5333333333333333,30,14,0.5073529411764706
42,moe_mean,ASONAM17_Damage_Image_Dataset,4200,0.21738095238095237,0.9069059933069669,0.09404761904761905,0.9404761904761907,0.8,35,7,0.601010101010101
42,moe_mean,aidr_disaster_types,2069,0.11986466892218463,0.9719934102141681,0.04253262445625906,0.4253262445625907,0.7619047619047619,21,5,0.7341389728096677
42,moe_mean,aidr_info,1919,0.18030224075039084,0.9783852511125238,0.01771756122980719,0.17717561229807197,1.0,5,0,0.8219895287958116
42,moe_mean,crisismmd,4822,0.25425134798838656,0.9313125695216907,0.06117793446702613,0.6117793446702615,0.8333333333333334,24,4,0.6898002103049422
42,moe_mean,multimodal-deep-learning-disaster-response-mouzannar,2624,0.14977134146341464,0.9574181981174361,0.06364329268292683,0.6364329268292684,0.7333333333333333,30,8,0.6980108499095841
42,moe_tail,ASONAM17_Damage_Image_Dataset,4200,0.21,0.8830620855937311,0.1130952380952381,1.1309523809523812,0.71875,32,9,0.5087900723888314
42,moe_tail,aidr_disaster_types,2069,0.10391493475108748,0.9606256742179072,0.05654905751570807,0.5654905751570809,0.7,20,6,0.6332288401253918
42,moe_tail,aidr_info,1919,0.21938509640437728,0.9425901201602136,0.0484627410109432,0.4846274101094321,0.6666666666666666,3,1,0.4861878453038674
42,moe_tail,crisismmd,4822,0.22853587722936541,0.8844086021505376,0.09498133554541684,0.9498133554541687,0.92,25,2,0.5219206680584552
42,moe_tail,multimodal-deep-learning-disaster-response-mouzannar,2624,0.19283536585365854,0.9579792256846081,0.057164634146341466,0.5716463414634148,0.75,28,7,0.7164461247637051
42,calibrated_tail,ASONAM17_Damage_Image_Dataset,4200,0.21738095238095237,0.9069059933069669,0.09404761904761905,0.9404761904761907,0.8,35,7,0.601010101010101
42,calibrated_tail,aidr_disaster_types,2069,0.11986466892218463,0.9719934102141681,0.04253262445625906,0.4253262445625907,0.7619047619047619,21,5,0.7341389728096677
42,calibrated_tail,aidr_info,1919,0.18030224075039084,0.9783852511125238,0.01771756122980719,0.17717561229807197,1.0,5,0,0.8219895287958116
42,calibrated_tail,crisismmd,4822,0.25425134798838656,0.9313125695216907,0.06117793446702613,0.6117793446702615,0.8333333333333334,24,4,0.6898002103049422
42,calibrated_tail,multimodal-deep-learning-disaster-response-mouzannar,2624,0.14977134146341464,0.9574181981174361,0.06364329268292683,0.6364329268292684,0.7333333333333333,30,8,0.6980108499095841
73,random,ASONAM17_Damage_Image_Dataset,4200,0.19690476190476192,0.8603616958197451,0.20095238095238097,1.8880952380952383,0.17777777777777778,45,37,0.18454106280193236
73,random,aidr_disaster_types,2069,0.2015466408893185,0.9291767554479419,0.11213146447559208,1.121314644755921,0.35,20,13,0.2634920634920635
73,random,aidr_info,1919,0.2058363731109953,0.9402887139107612,0.06930693069306931,0.6930693069306932,0.0,4,4,0.17901234567901234
73,random,crisismmd,4822,0.20012442969722108,0.8765880217785844,0.15242637909581086,1.5242637909581092,0.2647058823529412,34,25,0.2238648363252376
73,random,multimodal-deep-learning-disaster-response-mouzannar,2624,0.1989329268292683,0.89058039961941,0.18864329268292682,1.8864329268292688,0.12121212121212122,33,29,0.14655172413793102
73,entropy,ASONAM17_Damage_Image_Dataset,4200,0.2330952380952381,0.9292145296491773,0.08976190476190476,0.8976190476190479,0.6666666666666666,45,15,0.6357487922705314
73,entropy,aidr_disaster_types,2069,0.1580473658772354,0.9764638346727899,0.031899468342194294,0.31899468342194304,0.85,20,3,0.7904761904761904
73,entropy,aidr_info,1919,0.13183949973944764,0.9861944777911165,0.015633142261594582,0.15633142261594585,0.75,4,1,0.8148148148148148
73,entropy,crisismmd,4822,0.23247615097469929,0.9478519319102945,0.060348403152218996,0.6034840315221901,0.7647058823529411,34,8,0.6927138331573389
73,entropy,multimodal-deep-learning-disaster-response-mouzannar,2624,0.16996951219512196,0.9522497704315886,0.07393292682926829,0.7393292682926832,0.696969696969697,33,10,0.6655172413793103
73,single_model_risk,ASONAM17_Damage_Image_Dataset,4200,0.21452380952380953,0.9096695968475296,0.0980952380952381,0.9809523809523812,0.7777777777777778,45,10,0.6019323671497585
73,single_model_risk,aidr_disaster_types,2069,0.13533107781536974,0.975964225824483,0.031899468342194294,0.31899468342194304,0.85,20,3,0.7904761904761904
73,single_model_risk,aidr_info,1919,0.1641479937467431,0.976932668329177,0.02136529442417926,0.21365294424179265,1.0,4,0,0.7469135802469136
73,single_model_risk,crisismmd,4822,0.2569473247615097,0.9363661735975439,0.06262961426793862,0.6262961426793863,0.7647058823529411,34,8,0.6810982048574445
