seed,policy,budget,tail_weight,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
17,calibrated_tail,0.1,0.0,15634,0.09997441473711143,0.9201193944993249,0.11359856722527824,1.1359856722527826,0.48031496062992124,127,66,0.4083944037308461
17,calibrated_tail,0.2,0.0,15634,0.19994882947422285,0.9419571474256476,0.06933606242804145,0.6933606242804147,0.7007874015748031,127,38,0.6389073950699533
17,calibrated_tail,0.3,0.0,15634,0.2999872073685557,0.9539473684210527,0.04247153639503646,0.4247153639503647,0.8740157480314961,127,16,0.7788141239173884
17,calibrated_tail,0.4,0.0,15634,0.39996162210566716,0.9625839462743844,0.02807982602021236,0.2807982602021236,0.9212598425196851,127,10,0.8537641572285143
17,guarded,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
17,guarded,0.05,,15634,0.04995522578994499,0.9087053120581701,0.14858641422540617,1.485864142254062,0.2867647058823529,136,97,0.23560381704508063
17,guarded,0.1,,15634,0.09997441473711143,0.9256627105394073,0.11564538825636433,1.1564538825636437,0.4411764705882353,136,76,0.40506745640013164
17,guarded,0.2,,15634,0.19994882947422285,0.9529101375119923,0.06140463093258283,0.6140463093258285,0.7279411764705882,136,37,0.684106614017769
17,guarded,0.3,,15634,0.2999872073685557,0.9695723684210527,0.031533836510170145,0.3153383651017015,0.8823529411764706,136,16,0.8377755840737084
17,guarded,0.4,,15634,0.39996162210566716,0.9780407206054792,0.019061020851989255,0.19061020851989258,0.9411764705882353,136,8,0.9019414281013491
42,random,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
42,random,0.05,,15634,0.04995522578994499,0.8912677573554164,0.18229499808110528,1.7899449916847898,0.0661764705882353,136,127,0.06219151036525173
42,random,0.1,,15634,0.09997441473711143,0.8903418378224718,0.17513112447230395,1.75131124472304,0.08088235294117647,136,125,0.09904573872984535
42,random,0.2,,15634,0.19994882947422285,0.8904700991365526,0.1571574772930792,1.5715747729307923,0.16911764705882354,136,113,0.19151036525172754
42,random,0.3,,15634,0.2999872073685557,0.8887061403508771,0.14014327747217603,1.4014327747217605,0.2426470588235294,136,103,0.27903915761763737
42,random,0.4,,15634,0.39996162210566716,0.8879650357104786,0.11826787770244339,1.1826787770244342,0.39705882352941174,136,82,0.39157617637380715
42,entropy,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
42,entropy,0.05,,15634,0.04995522578994499,0.9087053120581701,0.14858641422540617,1.485864142254062,0.2867647058823529,136,97,0.23560381704508063
42,entropy,0.1,,15634,0.09997441473711143,0.9256627105394073,0.11564538825636433,1.1564538825636437,0.4411764705882353,136,76,0.40506745640013164
42,entropy,0.2,,15634,0.19994882947422285,0.9529101375119923,0.06140463093258283,0.6140463093258285,0.7279411764705882,136,37,0.684106614017769
42,entropy,0.3,,15634,0.2999872073685557,0.9695723684210527,0.031533836510170145,0.3153383651017015,0.8823529411764706,136,16,0.8377755840737084
42,entropy,0.4,,15634,0.39996162210566716,0.9780407206054792,0.019061020851989255,0.19061020851989258,0.9411764705882353,136,8,0.9019414281013491
42,weighted_entropy,0.0,,15634,0.0,0.8786618907509275,0.18344633491109122,1.621082256620187,0.0,97,97,0.0
42,weighted_entropy,0.05,,15634,0.04995522578994499,0.8971251599003568,0.14334143533324806,1.4334143533324808,0.26804123711340205,97,71,0.2186192468619247
42,weighted_entropy,0.1,,15634,0.09997441473711143,0.9129415109089617,0.11417423564027121,1.1417423564027123,0.4020618556701031,97,58,0.3776150627615063
42,weighted_entropy,0.2,,15634,0.19994882947422285,0.9354812919731372,0.06971984137137009,0.6971984137137011,0.7216494845360825,97,27,0.6199442119944212
42,weighted_entropy,0.3,,15634,0.2999872073685557,0.9533991228070176,0.04125623640782909,0.412562364078291,0.8865979381443299,97,11,0.7751046025104602
42,weighted_entropy,0.4,,15634,0.39996162210566716,0.9666346871335678,0.023346552385825763,0.2334655238582577,0.9587628865979382,97,4,0.8727336122733612
42,single_model_risk,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
42,single_model_risk,0.05,,15634,0.04995522578994499,0.905069682892345,0.140718945887169,1.4071894588716902,0.4264705882352941,136,78,0.27607765712405397
42,single_model_risk,0.1,,15634,0.09997441473711143,0.9213275531234454,0.10611487783036971,1.0611487783036972,0.6029411764705882,136,54,0.45409674234945707
42,single_model_risk,0.2,,15634,0.19994882947422285,0.9441957147425648,0.06159652040424715,0.6159652040424717,0.8014705882352942,136,27,0.6831194471865746
42,single_model_risk,0.3,,15634,0.2999872073685557,0.9545869883040936,0.0398490469489574,0.3984904694895741,0.8970588235294118,136,14,0.794998354721948
42,single_model_risk,0.4,,15634,0.39996162210566716,0.9589595991898519,0.02852756812076244,0.2852756812076245,0.9485294117647058,136,7,0.8532411977624218
42,l2d_single_head,0.0,,15634,0.0,0.8876806959191506,0.19195343482154278,1.7963413074069339,0.0,127,127,0.0
42,l2d_single_head,0.05,,15634,0.04995522578994499,0.9004914832020467,0.14877830369707049,1.4877830369707052,0.33858267716535434,127,84,0.22492502499166944
42,l2d_single_head,0.1,,15634,0.09997441473711143,0.9105962618150807,0.1272866828706665,1.2728668287066653,0.41732283464566927,127,74,0.3368877040986338
42,l2d_single_head,0.2,,15634,0.19994882947422285,0.927326511032939,0.08718178329282333,0.8718178329282336,0.6535433070866141,127,44,0.5458180606464512
42,l2d_single_head,0.3,,15634,0.2999872073685557,0.9395102339181286,0.062044262504797235,0.6204426250479725,0.7480314960629921,127,32,0.6767744085304899
42,l2d_single_head,0.4,,15634,0.39996162210566716,0.9506449205841595,0.042215683766150695,0.4221568376615071,0.8346456692913385,127,21,0.7800733088970343
42,moe_mean,0.0,,15634,0.0,0.8807087117820136,0.19361647690930026,1.7432518869131381,0.0,118,118,0.0
42,moe_mean,0.05,,15634,0.04995522578994499,0.8988083215512018,0.14193424587437636,1.419342458743764,0.3898305084745763,118,72,0.2669309547406673
42,moe_mean,0.1,,15634,0.09997441473711143,0.918129486177244,0.10617884098759114,1.0617884098759118,0.576271186440678,118,50,0.451602246448629
42,moe_mean,0.2,,15634,0.19994882947422285,0.9416373520946594,0.062300115133683,0.6230011513368301,0.7966101694915254,118,24,0.6782292699041955
42,moe_mean,0.3,,15634,0.2999872073685557,0.9520285087719298,0.04164001535115773,0.41640015351157744,0.8813559322033898,118,14,0.7849355797819624
42,moe_mean,0.4,,15634,0.39996162210566716,0.9571474256475856,0.029167199692976844,0.29167199692976853,0.9491525423728814,118,6,0.8493557978196233
42,moe_tail,0.0,,15634,0.0,0.8805807854675707,0.18856338748880644,1.6914417295637714,0.0,109,109,0.0
